# Slot signatures the NPC kernel's shape recovers by reading bodies and call sites (story 29b-0),
# applied by `uv run elysium research kernel_shape` over the SDK 2013 and evidence tiers.
#
# module	slot	method	return	params	const	tier	evidence
#
# params: comma-separated Source types, empty for none. The parameter words match the image's
#         `RET n` unless the evidence explains a by-value aggregate or a hidden return slot.
# tier: walked    = read from the bodies and call sites the evidence cites
#       unsettled = read, and the reading cannot decide (the evidence says why)
vampire.dll	0	SetRefEHandle	void	const CBaseHandle&		walked	0x10027450 copies the word behind arg1 into +0x448, the same member slot 1 GetRefEHandle 0x10027470 returns by address; retail IHandleEntity has no virtual destructor at slot 0 (SDK 2013 order SetRefEHandle/GetRefEHandle with matching arity)
vampire.dll	2	GetCollideable	ICollideable*			walked	0x10027610 returns this+0x270, the CBaseEntity datamap member m_Collision; SDK 2013 IServerUnknown order GetCollideable/GetNetworkable/GetBaseEntity, 0 words
vampire.dll	3	GetNetworkable	IServerNetworkable*			walked	0x10027630 returns this+0x2d4, the network property that ShouldTransmit 0x100ab020 dispatches through (+0x1c) and hands the PVS test; SDK 2013 IServerUnknown order
vampire.dll	4	GetBaseEntity	CBaseEntity*			walked	0x10027650 returns ECX unchanged; SDK 2013 IServerUnknown::GetBaseEntity position
vampire.dll	5	~CBaseEntity	void*	unsigned int		walked	MSVC scalar deleting destructor: CAI_BaseNPCTroika 0x1028d5e0 calls the destructor body, frees this when arg1 bit 0 is set, returns this in EAX and pops 1 word; 77 per-class bodies of the same shape
vampire.dll	7	SetSentLastFrame	void	bool		walked	0x100b12e0 stores the low byte of arg1 into byte +0x380
vampire.dll	11	DebugSetEntityName	void	const char*		walked	0x1009ac80 copies arg1 (31 chars) into this+0x4 and, when slot 85 GetEdict is non-null, into the edict's name buffer
vampire.dll	12	DebugGetEntityName	const char*			walked	0x1009ad70 returns this+0x4, the 32-char buffer slot 11 fills
vampire.dll	13	DebugSetClassName	void	const char*		walked	0x1009ae10 copies arg1 (31 chars) into this+0x24 and into GetEdict()+0x20
vampire.dll	14	DebugGetClassName	const char*			walked	0x1009af00 returns this+0x24, the 32-char buffer DebugSetClassName 0x1009ae10 writes; named as the getter of that pair, like slots 11/12
vampire.dll	15	SetAttackExtents	void	const Vector&		walked	0x1009af40 copies three words from arg1 into +0x50/+0x54/+0x58 (warns when m_Collision is absent)
vampire.dll	16	GetAttackExtents	Vector			walked	0x1009b030 copies +0x50/+0x54/+0x58 into the hidden return pointer (the 1 popped word is the by-value Vector return), the member SetAttackExtents 0x1009af40 writes
vampire.dll	17	TraceMessage	void	const char*, int	const	walked	base 0x1009b380 (scope string CBaseEntity::TraceMessage) forwards both args to TraceMessageBase; Troika 0x1028de90 formats via 0x1028d990 (arg2 printed as the %d level) and appends to the global trace ring 0x1027ee20 keyed only by GetRefEHandle, touching no member, hence the const overload of the slot-18 pair
vampire.dll	18	TraceMessage	void	const char*, int		walked	base 0x1009b2c0 carries the same CBaseEntity::TraceMessage scope string as slot 17; Troika 0x1028de10 formats via 0x1028d990 and writes the NPC's own trace buffer +0x1b4e/+0x5b50 through 0x1027ef20, so the non-const overload
vampire.dll	19	TraceMessageBare	void	const char*	const	walked	base 0x1009b5a0 (scope string CBaseEntity::TraceMessageBare) forwards arg1 to TraceMessageBareBase; Troika 0x1028dfb0 copies arg1 to the global trace ring 0x1027ee20 (no member write), the const overload of the slot-20 pair
vampire.dll	20	TraceMessageBare	void	const char*		walked	base 0x1009b500 carries the same TraceMessageBare scope string; Troika 0x1028df30 appends arg1 to the NPC's own trace buffer via 0x1027ef20, the non-const overload
vampire.dll	21		void	CBaseEntity*		walked	victim-side hit notification: base 0x10026530 empty; Troika 0x1029f800 runs the detected-attack notice 0x102bf5d0(arg1 attacker), increments m_iHitBuildupCount +0x6064 and sets condition 10; the ranged hit path 0x10267b60 dispatches it on the victim immediately before the attacker's slot 24 OnVictimHitByMe; name not recovered
vampire.dll	22		void	CBaseEntity*		walked	victim-side notification: base 0x10026550 empty; Troika 0x1029f850 = notice 0x102bf5d0(arg1) + condition 10 (no hit-buildup increment); CBasePlayer::Replenish 0x10168320 dispatches it on the feed target with the player as arg1, paired with the player's slot 25; name not recovered
vampire.dll	23		void	CBaseEntity*		walked	victim-side notification, third of the 21/22/23 family: base 0x10026570 empty; Troika 0x1029f890 identical to slot 22 (notice 0x102bf5d0(arg1) + condition 10); CNPC_VMingXiaoTentacle 0x1039e860 overrides; no dispatch site found in the decompiled corpus, name not recovered
vampire.dll	24	OnVictimHitByMe	void	CBaseEntity*		walked	attacker-side: Troika 0x1029f8d0 clears the 5x3-word record at +0x6028 via 0x1028b160; CNPC_VZombie 0x103e1280 fires m_OnAttackedVictim +0x66e8 with arg1 as activator; dispatched on the attacker with the victim by the ranged path 0x10267b60 and melee 0x102579f0
vampire.dll	25		void	CBaseEntity*		walked	attacker-side counterpart of slot 22: base 0x100265b0 empty; CNPC_VZombie 0x103e12c0 fires m_OnAttackedVictim +0x66e8 with arg1 as activator; CBasePlayer::Replenish 0x10168320 dispatches it on the player with the feed target; name not recovered
vampire.dll	26		void	CBaseEntity*		walked	attacker-side counterpart of slot 23: base 0x100265d0 empty; CNPC_VZombie 0x103e12f0 fires m_OnAttackedVictim +0x66e8 with arg1 as activator; no dispatch site found, name not recovered
vampire.dll	27		void	CBaseEntity*		walked	victim-side provocation: base 0x100265f0 empty; Troika 0x1029f8f0 = notice 0x102bf5d0(arg1) + condition 10 + slot 600 (+0x960) with arg1; CNPC_VPedestrian 0x103a3850 calls Troika, slot 596 (+0x950)(arg1), then ideal state 8 and schedule 0x15a; no dispatch site found, name not recovered
vampire.dll	28	GetStealthVisionScalar	float			walked	base 0x10026610 returns the constant _DAT_104454c0 in ST0; Troika 0x101aa610 returns the datamap member m_flStealthVisionScalar +0x63c4
vampire.dll	29	GetStealthVisionCone	float			walked	Troika 0x101aa630 returns the datamap member m_flStealthVisionCone +0x63c8 in ST0; base 0x10026630 a float constant
